sifra,tip,stanica,datum_vrijeme,T,vlaga,RR,vjetar,smjer_kod,udar,insolacija,pritisak
02PLJV10,glavna,Pljevlja,18.08.2026 19:50,21.10,,0.00,0.50,22,,1.8,923.9
02ULCN10,glavna,Ulcinj,18.08.2026 19:50,27.60,,0.00,2.60,24,,0.6,1008.3
02ZBLJ10,glavna,Žabljak,18.08.2026 19:50,15.90,,0.00,0.30,30,,0.8,855.1
02BIST20,klimatološka,Bistrica,18.08.2026 19:00,21.20,,0.00,0.60,30,1.10,,
02BOAN30,klimatološka,Boan,18.08.2026 19:00,21.45,,,,,,,
02BPLJ20,klimatološka,Bijelo Polje,18.08.2026 19:00,22.18,,,,,,,
02BUDV20,klimatološka,Budva,18.08.2026 19:00,29.31,,,,,,,
02CRKV30,klimatološka,Crkvice,18.08.2026 19:00,18.17,,,,,,,
02DANL20,klimatološka,Danilovgrad,18.08.2026 19:00,27.60,,,,,,,
02DDOB30,klimatološka,Donja Dobrilovina,18.08.2026 19:00,19.66,,,,,,,
02GOBU30,klimatološka,Gornja Bukovica,18.08.2026 19:00,18.67,,,,,,,
02GRAD30,klimatološka,Gradac,18.08.2026 19:00,21.76,,,,,,,
02IVKO30,klimatološka,Ivanova korita,18.08.2026 19:00,20.19,,0.00,,,,,
02KOSA30,klimatološka,Kosanica,18.08.2026 19:00,18.33,,,,,,,
02KOVR30,klimatološka,Kovren,18.08.2026 19:00,17.31,,0.00,,,,,
02KUKO30,klimatološka,Kučka korita,18.08.2026 19:00,18.99,,0.00,,,,,
02LKOT20,klimatološka,Luka Kotor,18.08.2026 19:21,25.80,,,1.60,,2.20,,
02MAMO30,klimatološka,Manastir Morača,18.08.2026 19:00,21.64,,,,,,,
02MATE30,klimatološka,Matesevo,18.08.2026 19:00,16.99,,0.00,,,,,
02MOKR30,klimatološka,Mokro,18.08.2026 19:00,20.94,,,,,,,
02NJGV30,klimatološka,Njegovuđa,18.08.2026 19:00,17.84,,,,,,,
02PLZN20,klimatološka,Pluzine,18.08.2026 19:00,24.64,,0.00,5.60,30,9.20,,
02POSC30,klimatološka,Pošćenje,18.08.2026 19:00,21.76,,,,,,,
02STAB30,klimatološka,Stabna,18.08.2026 19:00,22.41,,,,,,,
02STIT30,klimatološka,Štitarica,18.08.2026 19:00,17.94,,,,,,,
02UBLI20,klimatološka,Ubli,18.08.2026 19:00,25.55,,,,,,,
02VELK30,klimatološka,Velika,18.08.2026 19:00,18.09,,,,,,,
02VELM20,klimatološka,Velimlje,18.08.2026 19:00,23.30,,0.00,1.20,20,2.00,,
02VIRP20,klimatološka,Virpazar,18.08.2026 19:00,29.80,,0.00,,,,,
02BAR010,glavna,Bar,18.08.2026 21:20,26.40,,0.00,0.90,4,,0.0,1009.0
02BERA20,glavna,Berane,18.08.2026 21:00,19.38,,0.00,0.50,14,1.50,,935.4
02CTNJ10,glavna,Cetinje,18.08.2026 21:20,18.90,,0.00,0.00,32,,0.4,939.1
02HNOV10,glavna,Herceg Novi,18.08.2026 21:20,25.20,,0.00,1.90,24,2.20,1.3,1004.8
02KOLS10,glavna,Kolašin,18.08.2026 21:20,15.10,,0.00,0.70,20,,0.6,908.0
02NIKS10,glavna,Nikšić,18.08.2026 21:20,21.40,,0.00,2.80,2,3.90,0.9,938.4
02PDGR10,glavna,Podgorica,18.08.2026 21:20,28.30,,0.00,4.10,2,8.50,0.1,1003.6
02PLJV10,glavna,Pljevlja,18.08.2026 21:20,16.90,,0.00,0.80,26,,0.8,924.8
02ULCN10,glavna,Ulcinj,18.08.2026 21:20,26.10,,0.00,1.50,30,,0.0,1009.2
